actual_stars,predicted_stars,explanation,review
3,3,"The review is largely lukewarm (""Meh"" is used repeatedly) but ends on a positive note, suggesting potential. The reviewer explicitly states it's currently an ""A-Okay"" and mentions a possible future rating of 4 stars, indicating it's better than average but not great.",I don't know what Bar Smith is trying to be. I feel like instead of just saying okay we are going to...
1,2,"Despite the reviewer's attempts at positivity, the overwhelming sentiment is negative. They explicitly state they didn't care for the food, describe unpleasant experiences with the taste and presentation, and detail consistently poor service. While acknowledging others enjoy it, their personal experience was significantly negative.",I am not a fan of this place. I like to try to stay positive though so here is my attempt a the prov...
5,5,"The review expresses strong positive sentiment (""I LOVE love LOVE""), long-term loyalty, and praises both the products and service. The only negative is a wish for more locations, which doesn't detract from the overall positive experience.",I LOVE love LOVE Coffee Bean.  I have been in love with Coffee Bean for years.  I am so bummed out t...
3,4,"The review is overwhelmingly positive, praising the taste, price, speed, and portion size. The only negative is a suggestion for adding vegetables, which doesn't significantly detract from the overall experience.",The noodles are delicious here. I had the vegetarian spicy noodle. It doesn't come with anything but...
1,1,"The review is overwhelmingly negative, citing long waits, poor service, unpleasant staff, and bad food. The strong language (""crappy"", ""grumpy"", ""ever again"") indicates extreme dissatisfaction.","Long wait for food, waitresses that don't know what they're doing, grumpy hosts, and crappy food tha..."
5,5,"The review uses overwhelmingly positive language (""Amazing,"" ""best around,"" ""friendly"") and highlights multiple positive aspects (sushi quality, speed, cleanliness, staff). There are no negative comments.","Amazing sushi. Fast, clean, fresh. Friendly staff. Favorites are Arizona, Beauty, Alaska, and Spicy ..."
4,4,"The review is overwhelmingly positive, highlighting a fun experience, great staff, atmosphere, and good sushi variety. The only significant negative is the lack of spice, which doesn't detract enough to warrant a lower rating.","Part 2 of the business trip.  Dinner with the sales team.

We always have fun when out on the road a..."
4,4,"The reviewer explicitly states the rating is 4 stars and expresses overall satisfaction with cleanliness, speed of service, and the restaurant's spaciousness. While not a perfect 5, it's a positive experience.","The 4 stars is in comparison to other Chipotle's I've been to, especially in this area.

I have to a..."
4,5,"The review uses highly positive language (""Great"", ""best"") and highlights key benefits (price, crowd size), indicating a very positive experience.","Great place to see a show.  Prices are the best around, and it's never too crowded."
4,4,"The review is overwhelmingly positive, highlighting enjoyable food, drinks, and a relaxed atmosphere. While acknowledging service isn't always perfect, the reviewer dismisses it as acceptable for the cafe's style and emphasizes the quality of the food and overall experience.",Usually stop here for breakfast and mimosas. Agreed the service is not always the greatest but who e...
4,3,"The review is generally positive about the airport's amenities (shopping, food, cleanliness). However, significant negative points are raised regarding the long walk to certain gates, problematic security screening, and lengthy rental car shuttle. These issues detract from the overall experience, preventing a higher rating.","Nice clean airport with lots of places to shop and lots of food options.  Terminal 4 is nice.

Two t..."
4,5,"The review is overwhelmingly positive, using enthusiastic language (""holy mecca of cupcake land"", ""MERCY"", ""worth every cent""). While there's a minor complaint about drink options, it's overshadowed by praise for the cupcakes themselves, the helpful staff, and the overall experience. The reviewer clearly loved it.","While doing a bicycle ride to the Orange Table, I pointed to a friend that LuLus Cupcakes was access..."
5,5,"The review is overwhelmingly positive, praising the theater's unique offerings and the owner's dedication despite financial challenges. The tone is grateful and appreciative.",The Harkins Camelview 5 gives Arizonans the unique opportunity to see movies that are normally reser...
4,5,"The review is overwhelmingly positive, using words like ""exceeded expectations,"" ""outstanding,"" ""very impressed,"" and ""muy delicious."" The reviewer highlights fresh food, a fun atmosphere, good value, and a wide variety of options. The minor wait time is presented as a positive sign of freshness.",El Taco de Chandler exceeded my expectations.  I've driven past it almost every day for a year.  My ...
3,3,"The review is mixed. While there's a positive comment about a 'fun night' and good service sometimes, there are significant negatives (pancakes, burger tasting issue). The overall tone leans towards a somewhat enjoyable but flawed experience, suggesting a 3-star rating.",Drunk people go here. Service is good depending who you get. The Burger according to one Arik B can ...
4,4,"The review is overwhelmingly positive, highlighting good food, beer selection, and atmosphere. The main complaint is about the music, which doesn't detract significantly from the overall positive experience. The reviewer expresses intent to return.","I finally went here, after reading the reviews and pouting about how busy I was with work and how it..."
3,4,"The review is generally positive, highlighting friendly staff, availability of machines, and amenities like magazines. The complaints (AC and TV channels) are minor inconveniences, not dealbreakers, suggesting a good overall experience.","Not the newest or the nicest but, everything you need and usually no wait for machines. The staff is..."
4,4,"The review is overwhelmingly positive, highlighting great food, good prices, and a fun atmosphere. While the author expresses a desire to try more dishes before a higher rating, the current experience is clearly enjoyable and merits a 4-star rating.",wouldnt you agree that a key part of enjoying the dining experience in part depends upon the company...
5,5,"The review is overwhelmingly positive, using words like ""Love"", ""handsome"", and stating the dog didn't want to leave. It also highlights overcoming the dog's anxiety, a significant positive outcome.",Love Belly Rubz!! At first little Oscar was timid about me dropping him off but when I came to pick ...
5,5,"The review is overwhelmingly positive, praising the food, service, and atmosphere. While there's a minor complaint about the butter, it's overshadowed by numerous compliments and a strong statement of intent to return.","This place is fantastic. Great food, superior service, gorgeous decor... I had a Breakfast Casserole..."
4,3,"The review is generally positive, highlighting good dinner and great brunch. However, the criticism of the masala and the negative comment about the service bring the overall experience down from a 4 or 5. A 3 feels appropriate given the mix of positive and negative feedback.","Had dinner and brunch, not on the same day...the dinner was good, although I thought the mandala mas..."
3,4,"The review is overwhelmingly positive, highlighting the courses as 'great', 'fun', 'challenging', and 'scenic'. While acknowledging it's not a destination course, it's a 'local fave' and offers a good value. The positive comments about the food and atmosphere further support a 4-star rating.","Rolling Hills is two executive courses, and great for a quick cheap round of golf.  Totally not an o..."
4,4,"The review is overwhelmingly positive, praising the food quality and flavor. While the reviewer docked a star for minor ambiance and bread/cheese preferences, the overall sentiment is highly favorable and indicates a strong likelihood of returning.","I had my first meal at Miele's last night, and was pleasantly surprised.  I purchased a Groupon to t..."
4,4,"The review is overwhelmingly positive, praising the design, service, and food. The mention of 'kinks' suggests it's not perfect, preventing a 5-star rating, but the overall enthusiasm and intent to return indicate a strong 4-star experience.",Sure it's walking distance from my house - so I was hoping I would have a new place for my morning t...
1,2,"The review is largely negative, describing the food as ""so-so"" and the prices as ""outrageous."" While the reviewer acknowledges it's good for families, their personal experience is underwhelming, stating they ""just don't love it"" and suggesting others ""take your money elsewhere"" unless they have children.","Take your money elsewhere, unless you've got kids.  I really try to like this place.  A family membe..."
5,5,"The review is overwhelmingly positive, using enthusiastic language (""Yum yum yum!"", ""the bomb!"") and highlighting consistent quality, great value, and multiple appealing features (fresh chips, diverse menu, lunch specials, kids' activities, microbrewery, good margaritas). The reviewer states they've eaten there 30+ times, indicating strong satisfaction.",Yum yum yum! Mexican food has to me my favorite type of food and Arriba is for sure at the top of my...
4,4,"The review explicitly states a 4 out of 5 star rating overall and the individual category scores are all relatively high (mostly 4s and 5s). While the food doesn't *exceed* expectations, it's still considered 'good' and the other aspects are very positive.","I was here not too long ago.  The place is cute and when you look at the menu, you can't help but be..."
4,4,"The review is overwhelmingly positive, highlighting delicious food (ravioli, miso soup) and understanding why it's a favorite. While the wine is only 'ok', the recommendation of elixirs suggests a positive overall experience. The phrase 'pretty delicious' reinforces this.",I went here again when I got back to Phoenix after being gone for six months. This is one of my mom'...
3,3,"The review is mixed. While the food is 'OK' and the restaurant is clean, the reviewer explicitly states it's 'not all that' and suggests better options exist for the price, indicating a neutral to slightly positive experience.",This place isn't all that but there food is OK.  There are better Chinese options for the price (try...
5,5,"The review uses extremely positive language (""freaking good"", ""great"", ""absolutely delicious"", ""love everything"") and expresses a strong desire to revisit, indicating a 5-star experience.","So freaking good.  The drinks are great too.  Ask for ""the icon"" not on menu, but very good!

Love e..."
5,5,"The review uses highly positive language (""excellent,"" ""wonderful,"" ""extremely flavorful,"" ""highly recommended"") and praises both the service and food quality, indicating a very positive experience.",Another excellent find in Scottsdale.  The service is wonderful and the food is extremely flavorful ...
4,4,"The review is largely positive, describing the coffee shop as 'nice' and retaining a 'cozy, neighborly feel'. While noting price and changes in clientele, the overall tone is appreciative and recommends it as a starting point for exploring the neighborhood.","I do enjoy this coffee shop, though admittedly it has largely subscribed to bohemian bloodletting si..."
4,4,"The review is overwhelmingly positive, highlighting multiple dishes the reviewers enjoyed and praising the service and price. The only significant negative is the sweet and sour pork, which doesn't outweigh the many positives.",Thai Basil is just delicious! I love Thai food but i try not t drag the bf along too much since he h...
3,3,"The reviewer explicitly states they give the restaurant 3 stars. The review is generally positive, highlighting good food, service, and lemonade, but doesn't express overwhelming enthusiasm.",My sis recommend this place for our weekly dinner. We shared on of the large appetizer platters (hum...
4,5,"The reviewer, a self-described 'pizza snob' and New Yorker, gives overwhelmingly positive feedback, specifically praising the crust, mozzarella, toppings, and overall resemblance to NY-style pizza. The enthusiastic tone and direct compliment to the pizza maker ('Yo! Tony! You make a good pizza.') strongly indicate a 5-star experience.",Never been in - but I get pizza delivered from them now and then. I am a New Yorker and to call me a...
5,5,"The review is overwhelmingly positive, despite initial skepticism. The author expresses genuine awe and fascination with the unique plants and wildlife, and highlights the garden's educational and enduring appeal. The language used (e.g., ""exception,"" ""bizarre,"" ""never grows old"") indicates a very high level of satisfaction.","I am not usually a fan of botanical gardens. They seem too precious, too ""perfect"" to be of much int..."
5,4,"The review is overwhelmingly positive, highlighting enjoyable beer, good food (especially the carne adovada and fries), and a great atmosphere. While the turkey burger is described as 'standard,' all other aspects are praised, leading to a strong recommendation.",Thanks fellow yelpers for brining us to Four Peaks!  My husband and I were stuck in Phoenix for the ...
4,4,"While some dishes were average (3 stars), the excellent curry and fresh coconut water, combined with reasonable prices, elevate the overall experience to a 4-star rating.","We went over for dinner- had the spring rolls, chicken curry, and lemongrass chicken. The spring rol..."
2,2,"The review is largely negative, citing overpriced food, mediocre quality compared to competitors, and exceptionally poor service. While the nachos are praised, the overall experience is marred by the service issues and lack of value, leading to an irritated feeling despite being full.","I've been here a few times now and I would say it is decent, slightly overpriced Mexican food. Their..."
5,5,"The review is overwhelmingly positive, using words like ""terrific,"" ""amazed,"" ""impeccable,"" ""wonderful,"" and ""cherished."" While the reviewer acknowledges the cost, they strongly recommend the show and state they were highly rewarded by the experience.","01/04/2012

I thank Yelp and ATC for giving me the great opportunity to experience a terrific perfor..."
4,4,"The review is overwhelmingly positive, praising the food (sampler, tostones) and the overall experience. The political commentary is playful and doesn't detract from the positive sentiment towards the restaurant.",In spite of being on the corner of 44th and Camelback it does a good job of insulating you from the ...
1,1,"The review uses extremely negative language (""Disgusting!"", ""pretty bad"", ""no flavor""), describes an unpleasant atmosphere, and expresses suspicion about the authenticity of positive reviews. This strongly indicates a 1-star experience.",Disgusting!  Had a Groupon so my daughter and I tried it out.  Very outdated and gaudy 80's style in...
2,3,"The reviewer explicitly states the food was 'decent' and service 'good', but heavily criticizes the high price and pretentious atmosphere. They suggest a price reduction and attitude adjustment would improve their rating, indicating dissatisfaction despite not hating the meal. This points to a middle-ground rating of 3 stars.",I don't often review places on Yelp because of the time commitment and because usually I am just loo...
3,3,"The reviewer explicitly states ""Three solid stars from me."" and the overall sentiment is mixed - positive about happy hour, ribs, atmosphere and service, but negative about the music volume. This aligns with a 3-star rating.","Okay, so I like Canteen and all, but dear Lord, let's turn that music down a notch! These guys have ..."
4,5,"The review uses overwhelmingly positive language (""reliably good"", ""great"", ""fabulous"", ""outstanding"") and explicitly states it's an exception to the reviewer's avoidance of chains, indicating high satisfaction.","Always reliably good.  Great beer selection as well as fabulous ""bitch fizz"" (ciders, etc.) and cock..."
2,2,"The review details a highly negative experience – car trouble, unhelpful people, and reliance on strangers for rescue. While humorous in tone, the core experience is stressful and frustrating, indicating a poor rating. The author explicitly describes the gas station as the 'Bermuda Triangle' of gas stations.","This gas station is like the bermuda triangle of gas stations!
I came here w/ a friend on a first fr..."
1,2,"The review explicitly states ""service was awful"" and ""food was just okay"" and ends with ""Won't be going back"". This indicates a significantly negative experience, leaning towards a 2-star rating.","The service here was awful, we waited patiently for over 15 minutes for our server to come by our ta..."
4,5,"The review uses highly positive language (""delicious"", ""satisfies"", ""everyone left happy"") and expresses complete satisfaction with the food and experience.","Finally, a pizza place that satisfies the individual pizza taste buds of my family! We ordered the R..."
4,4,"The review is overwhelmingly positive, listing multiple desirable qualities (Smithwick's, good food, vibe, music, soccer atmosphere). The reviewer explicitly states '4 & 1/4 stars', rounding down to 4 is reasonable.","This place is right up my alley.

Smithwick's on tap- check
Awesome fish & chips (award-winning for ..."
5,5,"The review is overwhelmingly positive, using words like ""amazing,"" ""perfect,"" ""delicious,"" and ""highlight."" The reviewer explicitly states they would return and recommends it highly to locals.",After driving down a teeny dimly lit road and coming across what looked like a medical office buildi...
4,5,"The review expresses strong positive sentiment, explicitly stating it's the reviewer's ""number one"" sub place and praising the freshness of the ingredients.",The meat and bread is so fresh that it makes Mr. Goodcents my number one sub place to hit up when in...
4,4,"The review is generally positive, stating all dishes tried have been 'good'. While the reviewer finds the spice level moderate ('good' hot even at the hottest), the overall sentiment is favorable, suggesting a 4-star experience.",Been dining here about a year and still trying diff things from the menu and all have been good. I d...
4,4,"The review is overwhelmingly positive, praising the staff, restaurant, and overall value. While there's a noted downside with room renovations, the author acknowledges Kimpton's efforts and still gives 'high marks on all fronts,' indicating a strong positive experience.","As a travel consultant for cre8adventures.com, we came away impressed. This is a moderately priced g..."
4,3,"The reviewer expresses overall fondness for Pita Jungle but details several negative experiences during this specific visit (slow service, disliked soup, check presented too early, warm temperature). These issues prevent a higher rating, but the positive initial impression and concluding statement suggest it's not a terrible experience either.","I really love Pita Jungle.  My first experience was at the one downtown, and now, I have to get my f..."
3,4,"The review is positive, highlighting enjoyment specifically for a young child who loves trains. While the reviewer doesn't personally enjoy it, the strong positive experience for the intended audience (little kids) warrants a 4-star rating.",I only go here when my little cousin is in town and he adores this place. My cousin is 4 years old a...
3,3,"The review is largely neutral. The reviewer expresses initial excitement but then lists several minor drawbacks (smell, music, timing). They state they'd return for food and potentially drinks, but not immediately, indicating a generally positive but not outstanding experience.","I really wanted to fall madly in love with this place, I mean, a British themed pub in Heritage Squa..."
4,4,"Despite some odd decor and a disruptive patron, the reviewer overwhelmingly enjoyed the food (specifically the sandwich) and was pleasantly surprised by the restaurant's quality. The negative aspects didn't overshadow the positive experience enough to warrant a lower rating.","With a name like ""The Lodge"", I thought I was going to an old dirty restaurant with some of the neig..."
5,5,"The review is overwhelmingly positive, using words like ""indescribably cool,"" ""genius,"" and ""not to be missed!"" While there's a minor note about disrepair, the reviewer actively wants to support restoration and the overall experience is highly praised.",I'm not going to lie - I indulged in fantasies about Howard Roark during the course of my 90-minute ...
5,5,"The review uses overwhelmingly positive language (""SO glad"", ""exceeded my wildest expectations"", ""pleasantly surprised"", ""highly recommend"") and praises the therapist's skill. This indicates a very positive experience.",I got a coupon at a past Yelp event to try them out and I'm SO glad I did!  Massage Envy really exce...
4,4,"The review is overwhelmingly positive, highlighting amazing food (specifically the garlic appetizer and pizza) and a cozy, romantic ambiance. While there were minor service hiccups, the reviewer was understanding and prioritized good food. The 'decent service' and 'lively but romantic' description support a 4-star rating.","I didn't pay much attention to this place for several years.  Passed it many times, just didn't catc..."
3,2,"The reviewer explicitly states the food is only ""ok"" and heavily criticizes the price as ""outrageous"", indicating a negative experience despite potentially acceptable food quality.","Food is just ok, but the problem is it's way overpriced! I mean $9 for loco moco? Outrageous!"
1,1,"The review explicitly states the customer was ""extremely underwhelmed"" and ""do not plan on returning."" The detailed description of poor service (being ignored, lack of acknowledgement) strongly indicates a very negative experience.",I was searching for a unique item to give as a Thank You gift and I stopped by Practical Art over th...
3,4,"Despite the reviewer's slight discomfort with the 'trendy' vibe and price, the overwhelming sentiment is positive. They repeatedly use enthusiastic language ('deeee-licious', 'loooooooooooove', 'genius!!!', 'adore', 'fantastic') to describe the food and atmosphere, and ultimately state that 'taste wins out'.","the food here is deeee-licious. i like the decor, the ambiance, the menu, the waitstaff. however, i ..."
4,4,"The review uses positive language (""really enjoyed"", ""fancy"", ""LIKE"", ""Mmmmm!"") and expresses clear satisfaction with the food, indicating a positive experience. While not overwhelmingly enthusiastic, it's well above neutral.",My boyfriend just reviewed this place and although we have never  been here together - I thought tha...
3,4,"The review highlights multiple positive aspects (customer service, atmosphere, drinks, and food) with enthusiastic language (""YUMMIE""). While not overwhelmingly detailed, the consistently positive feedback suggests a 4-star experience.","1. Good Customer Service
2. Clean Atmosphere
3. Good Margaritas
4. YUMMIE Carna Asada Burrito"
5,5,"The review is overwhelmingly positive, praising the service, prices, atmosphere, and overall experience. The reviewer explicitly states they 'love this place' and will not seek alternatives.",I am proud to say that I sent Kristin S. here for her awesome hair transformation (8 inches is a lot...
5,3,"The reviewer explicitly states the 5-star rating is *only* for the happy hour. They heavily criticize the regular menu. While the happy hour is fantastic, the overall experience seems mixed, leaning towards average. A 3 reflects this duality.","note: the 5 stars i'm giving this place is for their happy hour menu, not the regular menu. if you o..."
5,5,"The review is overwhelmingly positive, using enthusiastic language like ""to DIE for,"" ""gone to heaven,"" and expressing a strong desire to return and try the entire menu. The reviewer clearly loves the food and atmosphere.",Have you ever eaten somewhere and just can't get the craving out of your head and you have to go bac...
4,4,"The review is overwhelmingly positive. While acknowledging some minor issues (slow service, noise), the reviewer explicitly states the food was 'very tasty', calls it a 'good joint', and says they 'would return'. This indicates a strong positive experience.",Stopped by for a quick bite on a Saturday afternoon. Did not realize that the place had just opened ...
2,2,The review explicitly states it's 'not exactly a great place to eat' but suggests it's okay for a casual shake/ice cream with a teenager. This indicates a slightly below average experience.,Not exactly what I would call a great place to eat. If you want to take your teenager out for a shak...
4,4,"The review is overwhelmingly positive, highlighting great drinks, food, atmosphere, and people. The negative comment about the staring man is minor and dismissed as likely a one-time occurrence, not impacting the overall experience significantly.","Great drinks!!!

Good atmosphere

Fantastic food (the bbq chicken pizza is a must)

Nice people to c..."
3,3,"The review is generally positive, highlighting several liked items (pita, fire feta, tea). However, it also points out some disappointments (salad, rice, tzatziki) and states they wouldn't go out of their way to visit, indicating a solid but not exceptional experience.","As a fairly new connoisseur of Greek food, this place is pretty good. I like their pita a lot, and t..."
5,5,"The review is overwhelmingly positive, using words like ""awesome"" and ""delicious"" and highlighting excellent service (free sample tray, delivery to bar). The enthusiasm expressed (""can't wait until they come back!"") strongly indicates a 5-star experience.",short leash is awesome! we tried the sample platter and they delivered it to us inside the bar. we w...
5,4,"The review is overwhelmingly positive, praising the smoothie quality, freshness of ingredients, and value for money. While the reviewer didn't try everything on the menu, they explicitly state the smoothies 'did not disappoint' and are recommended. The tone is enthusiastic without being ecstatic, suggesting a solid 4-star experience.",Visited the phoenix public market - open air market - farmers market they have on saturday mornings ...
3,3,"The review is mixed. While the service is highly praised (5 stars), the food quality is rated lower (2.5 stars for food overall, bland steak and trout). The overall experience seems decent due to the atmosphere and service, but the underwhelming food prevents a higher rating.","Service - 5 stars (which is so rare). Food 2.5 stars. 
My husband and I are a little picky when it c..."
4,5,"The review uses overwhelmingly positive language (""outstanding"", ""amazing"", ""delicious"", ""tasty"", ""definitely recommend"", ""come back in a heartbeat""). This indicates a very high level of satisfaction.","Had an outstanding lunch here.  The view is amazing, their cheese fondue dip was delicious, and they..."
5,5,"The review uses extremely positive language (""best workout ever"", ""FOR SURE"") indicating a highly satisfied customer.",Hybrid class!! Did it a few years back and to this day it's the best workout I've ever had. Will be ...
3,4,"The review is largely positive, praising the coffee and food. The only negative is a feeling of not being able to relax, which doesn't detract enough to warrant a lower rating, suggesting a good but not perfect experience.",I've swung into Echo a few times and haven't ever had a bad cup of coffee. The cappuccino is pretty ...
5,5,"The review uses overwhelmingly positive language (""Love this place!"", ""Great vibe"", ""Fantastic drinks and goodies!!"") and expresses a strong desire for the business to be available elsewhere, indicating high satisfaction.",Love this place! Wish we had one here in CA. Great vibe once you walk through that door. Fantastic d...
4,4,"The review expresses positive sentiment (""hooked"", ""cool"", ""amazed""). While acknowledging the price, the overall tone is enthusiastic and appreciative of the product and Apple's ecosystem.","Well, this is where I got my iPad, and I am hooked of all Apple products.  Yes, they are expensive, ..."
4,5,"The review is overwhelmingly positive, explicitly stating the place is ""better...hands down"" than a well-regarded competitor, praising the menu variety, prices, and food quality. The language used indicates a very high level of satisfaction.",I finally made it to this place after hearing nothing but great reviews from others.  Now I can see ...
3,4,"The review is overwhelmingly positive, praising the food as 'great', highlighting the generous portions, and describing a solid overall experience. While it notes the margaritas aren't great and dessert isn't worth it, these are minor drawbacks compared to the many positives.",The best example North Scottsdale has of traditional Phoenix sonoran mexican food.  Los Olivos resta...
4,5,"The review uses very positive language (""Very good food!"", ""friendly server"", ""definitely return!"") and highlights good service and portion sizes. No negative comments are present.",Very good food! We ate some shrimp tacos and macaroni and cheese. They split our tacos up for us and...
5,5,"The review is overwhelmingly positive, using words like ""fantastic,"" ""perfection,"" and describing frequent return visits. The author expresses regret for not trying it sooner and raves about multiple aspects of the establishment.","When I moved to the Valley, our first place was a rental in Old Town.  The previous tenant/owner gen..."
